frY;frI;frC;frS;frEx;FrImp;frH;frP;frR;grY;grI;grC;grS;grEx;grImp;grH;grP;grR
0.938210839;0.306259191;0.82712949;0.645570479;0.298728865;0.360081158;2.88846723;0.004340477;-0.004032;1.003459874;0.323228919;0.735061748;0.735061748;0.621119465;0.538045437;2.956797725;0.006324121;-0.004032
0.936419944;0.29018152;0.828004969;0.645771843;0.297204284;0.356388277;2.888980086;0.004686852;-0.00540201;1.00752559;0.339106494;0.736014016;0.736014016;0.624250736;0.53960375;2.953627231;0.005372784;-0.00540201
0.919565405;0.275926211;0.813120378;0.63380482;0.261835647;0.324141295;2.872450925;0.005153486;-0.005356286;1.001975097;0.351567966;0.738592731;0.738592731;0.609009212;0.534188249;2.945145346;0.006977278;-0.005356286
0.876212557;0.231165668;0.780496084;0.588939245;0.119793416;0.22375474;2.784555383;0.001287948;-0.00544465;0.963269099;0.313533048;0.717266246;0.717266246;0.496624029;0.451633715;2.917061435;0.001785138;-0.00544465
0.924673789;0.272797433;0.828854697;0.637765817;0.253500278;0.335437094;2.870622584;0.001506217;-0.005529327;0.996869564;0.303099597;0.73431848;0.73431848;0.609517877;0.532133235;2.924204137;-0.003998564;-0.005529327
0.928284575;0.298255569;0.815903525;0.637993029;0.287797136;0.351680037;2.861168644;0.00033186;-0.005563491;1.004599817;0.338433802;0.739358009;0.739358009;0.642673547;0.563003052;2.933418212;-0.002196184;-0.005563491
0.92946376;0.307546474;0.81724782;0.637917933;0.297753585;0.373217055;2.865339051;0.003214201;-0.005637665;0.998082574;0.3511739;0.728964733;0.728964733;0.650500845;0.572838811;2.935338385;0.006461766;-0.005637665
0.933308804;0.312120801;0.82364144;0.642065715;0.303694476;0.384002711;2.871546071;0.005960433;-0.005641259;1.003708372;0.350674041;0.730907341;0.730907341;0.653029667;0.59288568;2.944459335;0.009410557;-0.005641259
0.94399252;0.297257196;0.837318875;0.654847513;0.3029496;0.389638349;2.89207142;0.00742659;-0.005693605;1.009406816;0.349602654;0.738355293;0.738355293;0.641286095;0.580517377;2.935922749;0.01652484;-0.005693605
0.944890751;0.309964054;0.837536659;0.657485933;0.312233115;0.41595833;2.895999583;0.011646614;-0.005763722;1.01284645;0.375768031;0.74022197;0.74022197;0.648206972;0.606858994;2.942529032;0.019985749;-0.005763722
0.94215795;0.319679732;0.833947187;0.65596713;0.32532946;0.435687603;2.893483583;0.015604265;-0.00577703;1.013356047;0.360872745;0.738936636;0.738936636;0.65029797;0.621010925;2.94629967;0.020326464;-0.00577703
0.935915285;0.32073281;0.831653424;0.650836375;0.301446014;0.426317717;2.898375832;0.022382773;-0.005826241;1.0052136;0.373289043;0.725504505;0.725504505;0.635589733;0.622800301;2.942376341;0.02799346;-0.005826241
0.939494097;0.333086561;0.836247302;0.654812761;0.298331785;0.437511771;2.899008298;0.024684188;0.002545841;1.003559945;0.37162501;0.723081942;0.723081942;0.616838985;0.603231977;2.941715035;0.031014953;0.002545841
